Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
"year, stint, tmID, L",0.8583,1.0000,0.0020
"year, stint, tmID, SA",0.9458,1.0000,0.0010
"year, stint, tmID, GA",0.9167,1.0000,0.0020
"year, stint, W, L",0.2917,1.0000,0.0010
"year, stint, W, SA",0.6292,1.0000,0.0010
"year, stint, W, GA",0.4354,1.0000,0.0010
"year, stint, L, SA",0.6375,1.0000,0.0020
"year, stint, L, GA",0.2667,1.0000,0.0010
"year, stint, SA, GA",0.6792,1.0000,0.0010
"year, tmID, W, L",0.9417,1.0000,0.0020
"year, tmID, W, SA",0.9792,1.0000,0.0010
"year, tmID, W, GA",0.9667,1.0000,0.0010
"year, tmID, L, SA",0.9750,1.0000,0.0020
"year, tmID, L, GA",0.9583,1.0000,0.0010
"year, tmID, SA, GA",0.9667,1.0000,0.0020
"year, W, L, SA",0.7521,1.0000,0.0020
"year, W, L, GA",0.6333,1.0000,0.0010
"year, W, SA, GA",0.8375,1.0000,0.0010
"year, L, SA, GA",0.8083,1.0000,0.0020
"stint, tmID, W, L",0.6250,1.0000,0.0020
"stint, tmID, W, SA",0.8750,1.0000,0.0020
"stint, tmID, W, GA",0.7708,1.0000,0.0010
"stint, tmID, L, SA",0.9125,1.0000,0.0019
"stint, tmID, L, GA",0.6583,1.0000,0.0020
"stint, tmID, SA, GA",0.9063,1.0000,0.0020
"stint, W, L, SA",0.4333,1.0000,0.0010
"stint, W, L, GA",0.3208,1.0000,0.0010
"stint, W, SA, GA",0.5167,1.0000,0.0010
"stint, L, SA, GA",0.5000,1.0000,0.0020
"tmID, W, L, SA",0.9333,1.0000,0.0010
"tmID, W, L, GA",0.8604,1.0000,0.0010
"tmID, W, SA, GA",0.9500,1.0000,0.0020
"tmID, L, SA, GA",0.9500,1.0000,0.0010
"W, L, SA, GA",0.6646,1.0000,0.0010
"playerID, year, stint, tmID, W",1.0000,1.0000,0.0020
"playerID, year, stint, tmID, L",1.0000,1.0000,0.0020
"playerID, year, stint, tmID, SA",1.0000,1.0000,0.0020
"playerID, year, stint, tmID, GA",1.0000,1.0000,0.0020
"playerID, year, stint, W, L",1.0000,1.0000,0.0010
"playerID, year, stint, W, SA",1.0000,1.0000,0.0020
"playerID, year, stint, W, GA",1.0000,1.0000,0.0020
"playerID, year, stint, L, SA",1.0000,1.0000,0.0020
"playerID, year, stint, L, GA",1.0000,1.0000,0.0020
"playerID, year, stint, SA, GA",1.0000,1.0000,0.0020
"playerID, year, tmID, W, L",1.0000,1.0000,0.0020
"playerID, year, tmID, W, SA",1.0000,1.0000,0.0030
"playerID, year, tmID, W, GA",1.0000,1.0000,0.0030
"playerID, year, tmID, L, SA",1.0000,1.0000,0.0030
"playerID, year, tmID, L, GA",1.0000,1.0000,0.0040
"playerID, year, tmID, SA, GA",1.0000,1.0000,0.0050
"playerID, year, W, L, SA",0.9958,1.0000,0.0040
"playerID, year, W, L, GA",0.9917,1.0000,0.0040
"playerID, year, W, SA, GA",0.9958,1.0000,0.0040
"playerID, year, L, SA, GA",0.9958,1.0000,0.0040
"playerID, stint, tmID, W, L",0.9583,1.0000,0.0030
"playerID, stint, tmID, W, SA",0.9875,1.0000,0.0020
"playerID, stint, tmID, W, GA",0.9750,1.0000,0.0050
"playerID, stint, tmID, L, SA",0.9917,1.0000,0.0020
"playerID, stint, tmID, L, GA",0.9292,1.0000,0.0020
"playerID, stint, tmID, SA, GA",0.9750,1.0000,0.0030
"playerID, stint, W, L, SA",0.9958,1.0000,0.0040
"playerID, stint, W, L, GA",0.9667,1.0000,0.0030
"playerID, stint, W, SA, GA",0.9958,1.0000,0.0040
"playerID, stint, L, SA, GA",0.9958,1.0000,0.0030
"playerID, tmID, W, L, SA",1.0000,1.0000,0.0030
"playerID, tmID, W, L, GA",0.9917,1.0000,0.0020
"playerID, tmID, W, SA, GA",0.9958,1.0000,0.0030
"playerID, tmID, L, SA, GA",0.9958,1.0000,0.0020
"playerID, W, L, SA, GA",0.9958,1.0000,0.0030
"year, stint, tmID, W, L",0.9542,1.0000,0.0030
"year, stint, tmID, W, SA",0.9833,1.0000,0.0030
"year, stint, tmID, W, GA",0.9750,1.0000,0.0030
"year, stint, tmID, L, SA",0.9833,1.0000,0.0030
"year, stint, tmID, L, GA",0.9708,1.0000,0.0040
"year, stint, tmID, SA, GA",0.9750,1.0000,0.0030
"year, stint, W, L, SA",0.7667,1.0000,0.0020
"year, stint, W, L, GA",0.6500,1.0000,0.0020
"year, stint, W, SA, GA",0.8458,1.0000,0.0020
"year, stint, L, SA, GA",0.8167,1.0000,0.0020
"year, tmID, W, L, SA",0.9875,1.0000,0.0030
"year, tmID, W, L, GA",0.9750,1.0000,0.0040
"year, tmID, W, SA, GA",0.9917,1.0000,0.0050
"year, tmID, L, SA, GA",0.9833,1.0000,0.0020
"year, W, L, SA, GA",0.8625,1.0000,0.0010
"stint, tmID, W, L, SA",0.9458,1.0000,0.0020
"stint, tmID, W, L, GA",0.8771,1.0000,0.0010
"stint, tmID, W, SA, GA",0.9583,1.0000,0.0020
"stint, tmID, L, SA, GA",0.9625,1.0000,0.0020
"stint, W, L, SA, GA",0.6729,1.0000,0.0010
"tmID, W, L, SA, GA",0.9708,1.0000,0.0020
"playerID, year, stint, tmID, W, L",1.0000,1.0000,0.0020
"playerID, year, stint, tmID, W, SA",1.0000,1.0000,0.0020
"playerID, year, stint, tmID, W, GA",1.0000,1.0000,0.0020
"playerID, year, stint, tmID, L, SA",1.0000,1.0000,0.0020
"playerID, year, stint, tmID, L, GA",1.0000,1.0000,0.0020
"playerID, year, stint, tmID, SA, GA",1.0000,1.0000,0.0030
