Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
"lgID, hL, rOTL",0.7986,0.2357,0.0030
"lgID, hOTL, rW",0.8045,0.2357,0.0020
"lgID, hOTL, rL",0.7979,0.2357,0.0020
"lgID, hOTL, rT",0.9098,0.0974,0.0020
"lgID, hOTL, rOTL",0.7788,0.2357,0.0030
"lgID, rW, rL",0.1580,1.0000,0.0030
"lgID, rW, rT",0.2258,0.8618,0.0030
"lgID, rW, rOTL",0.7992,0.2357,0.0020
"lgID, rL, rT",0.2311,0.8618,0.0030
"lgID, rL, rOTL",0.8032,0.2357,0.0030
"lgID, rT, rOTL",0.9144,0.0974,0.0030
"hW, hL, hOTL",0.8729,0.2357,0.0020
"hW, hL, rW",0.7176,1.0000,0.0020
"hW, hL, rL",0.7202,1.0000,0.0030
"hW, hL, rT",0.6399,0.8618,0.0030
"hW, hL, rOTL",0.9408,0.2357,0.0030
"hW, hOTL, rW",0.9645,0.2357,0.0030
"hW, hOTL, rL",0.9598,0.2357,0.0030
"hW, hOTL, rT",0.9829,0.0974,0.0030
"hW, hOTL, rOTL",0.9236,0.2357,0.0030
"hW, rW, rL",0.7360,1.0000,0.0030
"hW, rW, rT",0.6524,0.8618,0.0030
"hW, rW, rOTL",0.9533,0.2357,0.0030
"hW, rL, rT",0.7294,0.8618,0.0030
"hW, rL, rOTL",0.9566,0.2357,0.0020
"hW, rT, rOTL",0.9822,0.0974,0.0030
"hL, hOTL, rW",0.9677,0.2357,0.0030
"hL, hOTL, rL",0.9500,0.2357,0.0020
"hL, hOTL, rT",0.9756,0.0974,0.0020
"hL, hOTL, rOTL",0.9124,0.2357,0.0030
"hL, rW, rL",0.7215,1.0000,0.0030
"hL, rW, rT",0.7077,0.8618,0.0030
"hL, rW, rOTL",0.9585,0.2357,0.0030
"hL, rL, rT",0.6754,0.8618,0.0030
"hL, rL, rOTL",0.9533,0.2357,0.0030
"hL, rT, rOTL",0.9816,0.0974,0.0020
"hOTL, rW, rL",0.9315,0.2357,0.0020
"hOTL, rW, rT",0.9704,0.0974,0.0020
"hOTL, rW, rOTL",0.9269,0.2357,0.0020
"hOTL, rL, rT",0.9724,0.0974,0.0020
"hOTL, rL, rOTL",0.9131,0.2357,0.0020
"hOTL, rT, rOTL",0.9552,0.0974,0.0020
"rW, rL, rT",0.4964,0.8618,0.0030
"rW, rL, rOTL",0.8822,0.2357,0.0020
"rW, rT, rOTL",0.9868,0.0974,0.0020
"rL, rT, rOTL",0.9868,0.0974,0.0020
"year, tmID, lgID, hW",1.0000,1.0000,0.0040
"year, tmID, lgID, hL",1.0000,1.0000,0.0040
"year, tmID, lgID, hOTL",1.0000,0.2357,0.0030
"year, tmID, lgID, rW",1.0000,1.0000,0.0040
"year, tmID, lgID, rL",1.0000,1.0000,0.0040
"year, tmID, lgID, rT",1.0000,0.8618,0.0030
"year, tmID, lgID, rOTL",1.0000,0.2357,0.0020
"year, tmID, hW, hL",1.0000,1.0000,0.0040
"year, tmID, hW, hOTL",1.0000,0.2357,0.0030
"year, tmID, hW, rW",1.0000,1.0000,0.0030
"year, tmID, hW, rL",1.0000,1.0000,0.0030
"year, tmID, hW, rT",1.0000,0.8618,0.0030
"year, tmID, hW, rOTL",1.0000,0.2357,0.0020
"year, tmID, hL, hOTL",1.0000,0.2357,0.0020
"year, tmID, hL, rW",1.0000,1.0000,0.0040
"year, tmID, hL, rL",1.0000,1.0000,0.0040
"year, tmID, hL, rT",1.0000,0.8618,0.0030
