Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
"name, playoff, GF",0.9803,0.6162,0.0030
"name, playoff, rank",0.6090,0.6162,0.0030
"name, confID, divID",0.4101,0.5938,0.0030
"name, confID, GF",0.9408,0.5938,0.0030
"name, confID, rank",0.4602,0.5938,0.0020
"name, divID, GF",0.9355,0.7709,0.0040
"name, divID, rank",0.3634,0.7709,0.0030
"name, GF, rank",0.9664,1.0000,0.0040
"lgID, franchID, playoff",0.4496,0.6162,0.0030
"lgID, franchID, confID",0.4075,0.5938,0.0030
"lgID, franchID, divID",0.2330,0.7709,0.0030
"lgID, franchID, GF",0.8196,1.0000,0.0030
"lgID, franchID, rank",0.0632,1.0000,0.0030
"lgID, playoff, confID",0.6234,0.3766,0.0020
"lgID, playoff, divID",0.5188,0.4885,0.0020
"lgID, playoff, GF",0.7683,0.6162,0.0030
"lgID, playoff, rank",0.4003,0.6162,0.0030
"lgID, confID, divID",0.4062,0.5938,0.0030
"lgID, confID, GF",0.5484,0.5938,0.0030
"lgID, confID, rank",0.4062,0.5938,0.0030
"lgID, divID, GF",0.6682,0.7709,0.0030
"lgID, divID, rank",0.2298,0.7709,0.0030
"lgID, GF, rank",0.4845,1.0000,0.0040
"franchID, playoff, confID",0.6768,0.3766,0.0030
"franchID, playoff, divID",0.6076,0.4885,0.0030
"franchID, playoff, GF",0.9789,0.6162,0.0030
"franchID, playoff, rank",0.5958,0.6162,0.0030
"franchID, confID, divID",0.4082,0.5938,0.0030
"franchID, confID, GF",0.9381,0.5938,0.0030
"franchID, confID, rank",0.4549,0.5938,0.0020
"franchID, divID, GF",0.9315,0.7709,0.0030
"franchID, divID, rank",0.3496,0.7709,0.0030
"franchID, GF, rank",0.9598,1.0000,0.0030
"playoff, confID, divID",0.6261,0.3766,0.0030
"playoff, confID, GF",0.9019,0.3766,0.0030
"playoff, confID, rank",0.6300,0.3766,0.0020
"playoff, divID, GF",0.9388,0.4885,0.0030
"playoff, divID, rank",0.5609,0.4885,0.0030
"playoff, GF, rank",0.9171,0.6162,0.0030
"confID, divID, GF",0.7419,0.5938,0.0030
"confID, divID, rank",0.4068,0.5938,0.0030
"confID, GF, rank",0.8275,0.5938,0.0030
"divID, GF, rank",0.9138,0.7709,0.0030
"year, tmID, name, lgID",1.0000,1.0000,0.0050
"year, tmID, name, franchID",1.0000,1.0000,0.0040
"year, tmID, name, playoff",1.0000,0.6162,0.0030
"year, tmID, name, confID",1.0000,0.5938,0.0030
"year, tmID, name, divID",1.0000,0.7709,0.0040
"year, tmID, name, GF",1.0000,1.0000,0.0040
"year, tmID, name, rank",1.0000,1.0000,0.0050
"year, tmID, lgID, franchID",1.0000,1.0000,0.0040
"year, tmID, lgID, playoff",1.0000,0.6162,0.0030
"year, tmID, lgID, confID",1.0000,0.5938,0.0030
"year, tmID, lgID, divID",1.0000,0.7709,0.0040
"year, tmID, lgID, GF",1.0000,1.0000,0.0040
"year, tmID, lgID, rank",1.0000,1.0000,0.0040
"year, tmID, franchID, playoff",1.0000,0.6162,0.0040
"year, tmID, franchID, confID",1.0000,0.5938,0.0030
"year, tmID, franchID, divID",1.0000,0.7709,0.0030
"year, tmID, franchID, GF",1.0000,1.0000,0.0040
"year, tmID, franchID, rank",1.0000,1.0000,0.0040
"year, tmID, playoff, confID",1.0000,0.3766,0.0030
"year, tmID, playoff, divID",1.0000,0.4885,0.0030
"year, tmID, playoff, GF",1.0000,0.6162,0.0030
"year, tmID, playoff, rank",1.0000,0.6162,0.0030
"year, tmID, confID, divID",1.0000,0.5938,0.0030
"year, tmID, confID, GF",1.0000,0.5938,0.0030
"year, tmID, confID, rank",1.0000,0.5938,0.0030
"year, tmID, divID, GF",1.0000,0.7709,0.0040
"year, tmID, divID, rank",1.0000,0.7709,0.0030
"year, tmID, GF, rank",1.0000,1.0000,0.0040
"year, name, lgID, franchID",1.0000,1.0000,0.0050
"year, name, lgID, playoff",1.0000,0.6162,0.0030
"year, name, lgID, confID",1.0000,0.5938,0.0030
"year, name, lgID, divID",1.0000,0.7709,0.0040
"year, name, lgID, GF",1.0000,1.0000,0.0040
"year, name, lgID, rank",1.0000,1.0000,0.0040
"year, name, franchID, playoff",1.0000,0.6162,0.0030
"year, name, franchID, confID",1.0000,0.5938,0.0030
"year, name, franchID, divID",1.0000,0.7709,0.0040
"year, name, franchID, GF",1.0000,1.0000,0.0040
"year, name, franchID, rank",1.0000,1.0000,0.0040
"year, name, playoff, confID",1.0000,0.3766,0.0030
"year, name, playoff, divID",1.0000,0.4885,0.0040
"year, name, playoff, GF",1.0000,0.6162,0.0030
"year, name, playoff, rank",1.0000,0.6162,0.0030
"year, name, confID, divID",1.0000,0.5938,0.0030
"year, name, confID, GF",1.0000,0.5938,0.0050
"year, name, confID, rank",1.0000,0.5938,0.0040
"year, name, divID, GF",1.0000,0.7709,0.0040
"year, name, divID, rank",1.0000,0.7709,0.0040
"year, name, GF, rank",1.0000,1.0000,0.0040
"year, lgID, franchID, playoff",1.0000,0.6162,0.0040
"year, lgID, franchID, confID",1.0000,0.5938,0.0030
"year, lgID, franchID, divID",1.0000,0.7709,0.0030
"year, lgID, franchID, GF",1.0000,1.0000,0.0040
"year, lgID, franchID, rank",1.0000,1.0000,0.0040
"year, lgID, playoff, confID",0.7209,0.3766,0.0020
"year, lgID, playoff, divID",0.7841,0.4885,0.0030
"year, lgID, playoff, GF",0.9710,0.6162,0.0030
"year, lgID, playoff, rank",0.7419,0.6162,0.0030
"year, lgID, confID, divID",0.4062,0.5938,0.0030
"year, lgID, confID, GF",0.9302,0.5938,0.0030
"year, lgID, confID, rank",0.4266,0.5938,0.0020
"year, lgID, divID, GF",0.9638,0.7709,0.0030
"year, lgID, divID, rank",1.0000,0.7709,0.0030
"year, lgID, GF, rank",0.9651,1.0000,0.0030
"year, franchID, playoff, confID",1.0000,0.3766,0.0020
"year, franchID, playoff, divID",1.0000,0.4885,0.0030
"year, franchID, playoff, GF",1.0000,0.6162,0.0030
"year, franchID, playoff, rank",1.0000,0.6162,0.0030
"year, franchID, confID, divID",1.0000,0.5938,0.0040
"year, franchID, confID, GF",1.0000,0.5938,0.0030
"year, franchID, confID, rank",1.0000,0.5938,0.0030
"year, franchID, divID, GF",1.0000,0.7709,0.0030
"year, franchID, divID, rank",1.0000,0.7709,0.0040
"year, franchID, GF, rank",1.0000,1.0000,0.0040
"year, playoff, confID, divID",0.8315,0.3766,0.0030
"year, playoff, confID, GF",0.9855,0.3766,0.0030
"year, playoff, confID, rank",0.8808,0.3766,0.0030
"year, playoff, divID, GF",0.9921,0.4885,0.0030
"year, playoff, divID, rank",1.0000,0.4885,0.0030
"year, playoff, GF, rank",0.9882,0.6162,0.0030
"year, confID, divID, GF",0.9717,0.5938,0.0030
"year, confID, divID, rank",1.0000,0.5938,0.0030
"year, confID, GF, rank",0.9901,0.5938,0.0030
"year, divID, GF, rank",1.0000,0.7709,0.0040
"tmID, name, lgID, franchID",0.0171,1.0000,0.0040
"tmID, name, lgID, playoff",0.4608,0.6162,0.0040
"tmID, name, lgID, confID",0.4082,0.5938,0.0030
"tmID, name, lgID, divID",0.2449,0.7709,0.0040
"tmID, name, lgID, GF",0.8381,1.0000,0.0050
"tmID, name, lgID, rank",0.0994,1.0000,0.0040
"tmID, name, franchID, playoff",0.4608,0.6162,0.0040
"tmID, name, franchID, confID",0.4082,0.5938,0.0030
"tmID, name, franchID, divID",0.2449,0.7709,0.0030
"tmID, name, franchID, GF",0.8381,1.0000,0.0050
"tmID, name, franchID, rank",0.0994,1.0000,0.0040
"tmID, name, playoff, confID",0.6794,0.3766,0.0030
"tmID, name, playoff, divID",0.6116,0.4885,0.0030
"tmID, name, playoff, GF",0.9803,0.6162,0.0040
"tmID, name, playoff, rank",0.6103,0.6162,0.0030
"tmID, name, confID, divID",0.4101,0.5938,0.0030
"tmID, name, confID, GF",0.9408,0.5938,0.0040
"tmID, name, confID, rank",0.4602,0.5938,0.0030
"tmID, name, divID, GF",0.9355,0.7709,0.0040
"tmID, name, divID, rank",0.3634,0.7709,0.0030
"tmID, name, GF, rank",0.9677,1.0000,0.0040
"tmID, lgID, franchID, playoff",0.4595,0.6162,0.0030
"tmID, lgID, franchID, confID",0.4082,0.5938,0.0030
"tmID, lgID, franchID, divID",0.2449,0.7709,0.0040
"tmID, lgID, franchID, GF",0.8348,1.0000,0.0040
"tmID, lgID, franchID, rank",0.0994,1.0000,0.0030
"tmID, lgID, playoff, confID",0.6794,0.3766,0.0030
"tmID, lgID, playoff, divID",0.6116,0.4885,0.0030
"tmID, lgID, playoff, GF",0.9803,0.6162,0.0040
"tmID, lgID, playoff, rank",0.6043,0.6162,0.0030
"tmID, lgID, confID, divID",0.4101,0.5938,0.0030
"tmID, lgID, confID, GF",0.9408,0.5938,0.0030
"tmID, lgID, confID, rank",0.4589,0.5938,0.0030
"tmID, lgID, divID, GF",0.9355,0.7709,0.0030
"tmID, lgID, divID, rank",0.3614,0.7709,0.0030
"tmID, lgID, GF, rank",0.9664,1.0000,0.0040
"tmID, franchID, playoff, confID",0.6794,0.3766,0.0020
"tmID, franchID, playoff, divID",0.6116,0.4885,0.0030
"tmID, franchID, playoff, GF",0.9803,0.6162,0.0040
"tmID, franchID, playoff, rank",0.6043,0.6162,0.0030
"tmID, franchID, confID, divID",0.4101,0.5938,0.0020
"tmID, franchID, confID, GF",0.9408,0.5938,0.0030
"tmID, franchID, confID, rank",0.4589,0.5938,0.0030
"tmID, franchID, divID, GF",0.9355,0.7709,0.0030
"tmID, franchID, divID, rank",0.3614,0.7709,0.0040
"tmID, franchID, GF, rank",0.9664,1.0000,0.0040
"tmID, playoff, confID, divID",0.6912,0.3766,0.0020
"tmID, playoff, confID, GF",0.9921,0.3766,0.0030
"tmID, playoff, confID, rank",0.7814,0.3766,0.0030
"tmID, playoff, divID, GF",0.9908,0.4885,0.0030
"tmID, playoff, divID, rank",0.7512,0.4885,0.0020
"tmID, playoff, GF, rank",0.9921,0.6162,0.0030
"tmID, confID, divID, GF",0.9487,0.5938,0.0040
"tmID, confID, divID, rank",0.4760,0.5938,0.0030
"tmID, confID, GF, rank",0.9862,0.5938,0.0030
"tmID, divID, GF, rank",0.9822,0.7709,0.0030
"name, lgID, franchID, playoff",0.4608,0.6162,0.0030
"name, lgID, franchID, confID",0.4082,0.5938,0.0030
"name, lgID, franchID, divID",0.2449,0.7709,0.0040
"name, lgID, franchID, GF",0.8381,1.0000,0.0050
"name, lgID, franchID, rank",0.0994,1.0000,0.0040
"name, lgID, playoff, confID",0.6794,0.3766,0.0030
"name, lgID, playoff, divID",0.6116,0.4885,0.0030
"name, lgID, playoff, GF",0.9803,0.6162,0.0030
"name, lgID, playoff, rank",0.6103,0.6162,0.0030
"name, lgID, confID, divID",0.4101,0.5938,0.0030
"name, lgID, confID, GF",0.9408,0.5938,0.0040
"name, lgID, confID, rank",0.4602,0.5938,0.0030
