Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
"year, date, R/P, IDgoalie2",1.0000,1.0000,0.0010
"year, date, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"year, tmID, oppID, R/P",1.0000,1.0000,0.0010
"year, tmID, oppID, IDgoalie1",1.0000,1.0000,0.0010
"year, tmID, oppID, IDgoalie2",1.0000,1.0000,0.0000
"year, tmID, R/P, IDgoalie1",0.8889,1.0000,0.0000
"year, tmID, R/P, IDgoalie2",0.9259,1.0000,0.0000
"year, tmID, IDgoalie1, IDgoalie2",0.9259,1.0000,0.0000
"year, oppID, R/P, IDgoalie1",1.0000,1.0000,0.0000
"year, oppID, R/P, IDgoalie2",1.0000,1.0000,0.0000
"year, oppID, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0000
"year, R/P, IDgoalie1, IDgoalie2",0.9259,1.0000,0.0000
"month, date, tmID, oppID",1.0000,1.0000,0.0000
"month, date, tmID, R/P",1.0000,1.0000,0.0000
"month, date, tmID, IDgoalie1",1.0000,1.0000,0.0000
"month, date, tmID, IDgoalie2",1.0000,1.0000,0.0000
"month, date, oppID, R/P",1.0000,1.0000,0.0000
"month, date, oppID, IDgoalie1",1.0000,1.0000,0.0000
"month, date, oppID, IDgoalie2",1.0000,1.0000,0.0010
"month, date, R/P, IDgoalie1",1.0000,1.0000,0.0010
"month, date, R/P, IDgoalie2",1.0000,1.0000,0.0010
"month, date, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"month, tmID, oppID, R/P",1.0000,1.0000,0.0000
"month, tmID, oppID, IDgoalie1",1.0000,1.0000,0.0000
"month, tmID, oppID, IDgoalie2",1.0000,1.0000,0.0000
"month, tmID, R/P, IDgoalie1",1.0000,1.0000,0.0000
"month, tmID, R/P, IDgoalie2",1.0000,1.0000,0.0000
"month, tmID, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"month, oppID, R/P, IDgoalie1",1.0000,1.0000,0.0000
