Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
"tmIDWinner, lgIDWinner, GoalsWinner",0.3401,1.0000,0.0020
"tmIDWinner, lgIDWinner, GoalsLoser",0.3233,1.0000,0.0020
"tmIDWinner, lgIDWinner, note",0.9435,0.0709,0.0020
"tmIDWinner, lgIDLoser, GoalsWinner",0.3462,1.0000,0.0030
"tmIDWinner, lgIDLoser, GoalsLoser",0.3317,1.0000,0.0020
"tmIDWinner, lgIDLoser, note",0.9447,0.0709,0.0010
"tmIDWinner, GoalsWinner, GoalsLoser",0.8558,1.0000,0.0020
"tmIDWinner, GoalsWinner, note",0.9796,0.0709,0.0020
"tmIDWinner, GoalsLoser, note",0.9712,0.0709,0.0010
"tmIDLoser, round, series",0.3450,0.8882,0.0020
"tmIDLoser, round, lgIDWinner",0.1310,1.0000,0.0030
"tmIDLoser, round, lgIDLoser",0.1286,1.0000,0.0020
"tmIDLoser, round, GoalsWinner",0.7837,1.0000,0.0020
"tmIDLoser, round, GoalsLoser",0.8029,1.0000,0.0020
"tmIDLoser, round, note",0.9555,0.0709,0.0010
"tmIDLoser, series, lgIDWinner",0.2464,0.8882,0.0020
"tmIDLoser, series, lgIDLoser",0.2464,0.8882,0.0030
"tmIDLoser, series, GoalsWinner",0.8329,0.8882,0.0020
"tmIDLoser, series, GoalsLoser",0.8558,0.8882,0.0020
"tmIDLoser, series, note",0.9844,0.0349,0.0010
"tmIDLoser, lgIDWinner, lgIDLoser",0.0373,1.0000,0.0020
"tmIDLoser, lgIDWinner, GoalsWinner",0.3690,1.0000,0.0030
"tmIDLoser, lgIDWinner, GoalsLoser",0.3738,1.0000,0.0030
"tmIDLoser, lgIDWinner, note",0.9447,0.0709,0.0020
"tmIDLoser, lgIDLoser, GoalsWinner",0.3618,1.0000,0.0020
"tmIDLoser, lgIDLoser, GoalsLoser",0.3654,1.0000,0.0020
"tmIDLoser, lgIDLoser, note",0.9435,0.0709,0.0020
"tmIDLoser, GoalsWinner, GoalsLoser",0.8918,1.0000,0.0030
